Groendreef;2016
Troonstraat tussen Handels en Idalie;2016
Frans Hospitaallaan;2016
Waversesteenweg ts Naamsepoort en Troon;2016
Oudergemlaan;2015
St-Michielslaan;2017
Fonsnylaan;2016
Veeweydekaai;2017
Belliardstraat;2019
Poincarélaan/Zuidlaan;2018
Elsensesteenweg tussen Naamsepoort en Cocq;2019
Woluwedal tussen Hymans en Tervuren;2018
Vrijheidslaan;2017
Roosevelt;2019
Van Praetlaan;2015
Begraafplaats Brussel in Evere;2006
rondpunt 'optimisme' kruising met GFR B;2015
Wahis/Leopold III;2011
Pachécolaan tot aan De Brouckhoven de Bergeyck;2009
Keizerinnelaan;2010
GFR 2 (ex-13);1998
Kerselarenlaan;2011
Wetstraat intra muros;2012
rondpunt Konkel/Jasmijn;2010
Stokkelsesteenweg thv Malou;2009
kruispunt Struyckbeken/Stokkelsesteenweg;2008
GFR 4 (ex-15);2000
GFR 5 (ex-16);2012
bewegwijzering;2012
Delta;2006
Elsene;2010
Nieuwelaan;2010
Mouterijbrug (Germoir);2007
Kroonlaan;2008
Sauvagine/Martin Pêcheur;2010
Oudstrijderslaan;2012
Kleine Ring tot aan Blyckaerts;2013
GFR 6 (ex-1);2002
Trierstraat (tussen Belliard en Wet);2000
Jupiterlaan;2014
Wapenrustinglaan;2014
Zeven Bundersstraat;2009
Dillenssquare;2008
Fabrieksstraat;2009
Weststation;2010
Groot-Bijgaardenstraat;2008
GFR 11 (ex-8);2009
GFR 12 (ex-9);2014
Vanderstichelenstraat-Opzichterstraat;2012
Woestelaan;2016
Tentoonstellingslaan tussen Oude Afspanning en Romeinse Steenweg;2015
Huidevettersstraat;2015
SZb;2015
Carcoke;2010
Vaartdijk Oostoever tussen Budabrug en Budasesteenweg;2009
tussen Budabrug en Van Praetbrug;2009
Van Praetbrug tussen Monplaisir en Heembeekstraat;2009
Veeweyde tussen Walcourt en Dehem;2016
Henegouwenkaai, Koolmijnenkaai;2009
Ninoofsepoort;2011
Mariemontkaai, Nijverheidskaai;2013
Havenlaan;2013
Groenstraat;2009
Schaarbeek;2011
Metsysstraat;2013
Etterbeeksesteenweg;2008
Flageyplein;2008
Vijvers van Elsene;2015
Sint-Joostplein;2008
Cuerensstraat;2008
Antwerpsesteenweg;2004
Titz/Hap;2009
Baucq/De Haerne;2009
Devèzesquare;2014
Fraikin/Voltairelaan;2013
Paepsem/Van Kalcken;2011
Dubrucq en Clessestraat;2009
