year;cumulated_kilometers
1896;3.985
1898;6.465
1940;8.245
1970;9.715
1980;41.421
1981;44.131
1985;49.591
1988;54.861
1990;65.826
1998;79.611
2000;105.924
2002;120.979
2003;121.754
2004;124.196
2005;128.721
2006;135.471
2007;138.476
2008;172.299
2009;214.886
2010;220.036
2011;226.297
2012;244.213
2013;316.511
2014;427.998
2015;466.392
2016;472.65
2017;474.009
2018;476.909
2019;481.019
